regulator,account_holder,account_type,account_status,operator_id,permit_id,installation_name,first_year,last_year,recorded_emissions_2021,recorded_emissions_2022,recorded_emissions_2023,recorded_emissions_2024,cumulative_emissions,cumulative_surrenders,surrender_status_2021,surrender_status_2022,surrender_status_2023,surrender_status_2024,nace_code,nace_description,regulated_activity,alloc_entitlement_2025,alloc_delivered_2025,alloc_entitlement_2026,alloc_delivered_2026,cps_scope,cps_scope_rule
SEPA,Alvance British Aluminium Limited,OPERATOR_HOLDING_ACCOUNT,OPEN,1000583,UK-S-IN-13528,Lochaber Smelter,2021,,61389.0,50598.0,48827.0,46923.0,207737,207737,A,A,A,A,2442,Aluminium production,PRODUCTION_OF_PRIMARY_ALUMINIUM,44485,44485,44485,44485,CPS_NOT_APPLICABLE,R7_process_activity
SEPA,INEOS FPS Limited,OPERATOR_HOLDING_ACCOUNT,OPEN,1000584,UK-S-IN-13529,Forties Pipeline System - Kinneil,2021,,255066.0,236544.0,196480.0,196112.0,884202,884202,A,A,A,A,610,Extraction of crude petroleum,COMBUSTION_OF_FUELS,184010,184010,184010,184010,CPS_NOT_APPLICABLE,R6_industrial_combustion
SEPA,Chivas Brothers Limited,OPERATOR_HOLDING_ACCOUNT,OPEN,1000585,UK-S-IN-13533,The Glenlivet Distillery,2021,,18031.0,17784.0,20447.0,19807.0,76069,76070,A,A,A,A,1101,"Distilling, rectifying and blending of spirits",COMBUSTION_OF_FUELS,3492,3492,0,0,CPS_NOT_APPLICABLE,R6_industrial_combustion
SEPA,University of Strathclyde,OPERATOR_HOLDING_ACCOUNT,OPEN,1000586,UK-S-IN-13540,John Anderson Campus DEN,2021,,20075.0,18122.0,18256.0,19421.0,75874,75874,A,A,A,A,8542,Tertiary education,COMBUSTION_OF_FUELS,2354,2354,2354,2354,CPS_NOT_APPLICABLE,R6_industrial_combustion
SEPA,EnQuest Heather Limited,OPERATOR_HOLDING_ACCOUNT,OPEN,1000588,UK-S-IN-13686,Sullom Voe Terminal,2021,,28983.0,25528.0,59986.0,89875.0,204372,204372,A,A,A,A,610,Extraction of crude petroleum,COMBUSTION_OF_FUELS,31728,31728,31728,31728,CPS_NOT_APPLICABLE,R6_industrial_combustion
SEPA,E.ON UK Steven's Croft Limited,OPERATOR_HOLDING_ACCOUNT,OPEN,1000589,UK-S-IN-13687,Steven's Croft Power Station,2021,,7013.0,7268.0,6323.0,5098.0,25702,25702,A,A,A,A,3511,Production of electricity,COMBUSTION_OF_FUELS,652,652,937,937,CPS_COVERED,R5_electricity_combustion
SEPA,Diageo Scotland Limited,OPERATOR_HOLDING_ACCOUNT,CLOSED,1000590,UK-S-IN-13712,Burghead Maltings,2021,2021,,,,,0,0,EXCLUDED,,,,1106,Manufacture of malt,COMBUSTION_OF_FUELS,0,0,0,0,CPS_NOT_APPLICABLE,R6_industrial_combustion
SEPA,Diageo Scotland Limited,OPERATOR_HOLDING_ACCOUNT,OPEN,1000591,UK-S-IN-13713,Roseisle Complex,2021,,11459.0,12148.0,13245.0,12498.0,49350,49350,A,A,A,A,1101,"Distilling, rectifying and blending of spirits",COMBUSTION_OF_FUELS,4313,4313,4313,4313,CPS_NOT_APPLICABLE,R6_industrial_combustion
SEPA,Arjowiggins Scotland Limited,OPERATOR_HOLDING_ACCOUNT,CLOSED,1000592,UK-S-IN-13776,Stoneywood Mill,2021,2023,43588.0,25458.0,0.0,,69046,43588,A,B,B,,1712,Manufacture of paper and paperboard,PRODUCTION_OF_PAPER_OR_CARDBOARD,0,0,0,0,CPS_NOT_APPLICABLE,R7_process_activity
SEPA,Penspen Limited,OPERATOR_HOLDING_ACCOUNT,OPEN,1000593,UK-S-IN-13793,Boiler Plant - Drungans,2021,,17977.0,16391.0,16292.0,16894.0,67554,67554,A,A,A,A,2222,Manufacture of plastic packing goods,COMBUSTION_OF_FUELS,11972,11972,11972,11972,CPS_NOT_APPLICABLE,R6_industrial_combustion
SEPA,Velox Power Limited,OPERATOR_HOLDING_ACCOUNT,OPEN,1000594,UK-S-IN-13837,Netherton Power Station,2021,,1631.0,9853.0,4788.0,4158.0,20430,20430,A,A,A,A,3511,Production of electricity,COMBUSTION_OF_FUELS,0,0,0,0,CPS_COVERED,R5_electricity_combustion
