operator_id,permit_id,account_holder,installation_name,regulator,account_status,first_year,last_year,nace_code,nace_description,regulated_activity,cps_scope,cps_scope_rule,recorded_emissions_2021,recorded_emissions_2022,recorded_emissions_2023,recorded_emissions_2024,surrender_status_2021,surrender_status_2022,surrender_status_2023,surrender_status_2024,alloc_entitlement_2025,alloc_delivered_2025,alloc_entitlement_2026,alloc_delivered_2026
1000031,UK-E-IN-14119,Ineos Acetyls UK Limited,Ineos Acetyls Hull,EA,OPEN,2021,,2059,Manufacture of other chemical products n.e.c.,PRODUCTION_OF_BULK_CHEMICALS; PRODUCTION_OF_HYDROGEN_AND_SYNTHESIS_GAS; COMBUSTION_OF_FUELS,CPS_NOT_APPLICABLE,R7_process_activity,294336.0,204072.0,249260.0,251020.0,A,A,A,A,189899,252530,189899,189899
1000032,UK-E-IN-13236,Breedon Cement Limited,Hope Cement Works,EA,OPEN,2021,,2351,Manufacture of cement,PRODUCTION_OF_CEMENT_CLINKER,CPS_NOT_APPLICABLE,R7_process_activity,1107670.0,1058215.0,1036412.0,985226.0,A,A,A,A,862168,862168,862168,862168
1000033,UK-E-IN-12582,Briar Chemicals Limited,Briar Chemicals Limited,EA,OPEN,2021,,2020,Manufacture of pesticides and other agrochemical products,COMBUSTION_OF_FUELS,CPS_NOT_APPLICABLE,R6_industrial_combustion,13808.0,18833.0,11632.0,13277.0,A,A,A,A,2250,2250,2399,2399
1000034,UK-E-IN-12593,Bridgnorth Aluminium Limited,Bridgnorth Aluminium Limited,EA,OPEN,2021,,2442,Aluminium production,PRODUCTION_OF_SECONDARY_ALUMINIUM,CPS_NOT_APPLICABLE,R7_process_activity,29492.0,27095.0,16088.0,21623.0,A,A,A,A,14262,19059,14262,14262
1000035,UK-E-IN-11788,British Airways plc,BRITISH AIRWAYS HEATHROW MAINTENANCE BASE,EA,OPEN,2021,,3316,Repair and maintenance of aircraft and spacecraft,COMBUSTION_OF_FUELS,CPS_NOT_APPLICABLE,R6_industrial_combustion,13289.0,10249.0,6661.0,7426.0,A,A,A,A,0,0,0,0
1000036,UK-E-IN-11973,British Salt Limited,British Salt Limited,EA,OPEN,2021,,893,Extraction of salt,COMBUSTION_OF_FUELS,CPS_NOT_APPLICABLE,R6_industrial_combustion,56782.0,53283.0,50353.0,52251.0,A,A,A,A,34333,34333,34333,34333
1000037,UK-E-IN-13784,British Steel Limited,Scunthorpe Integrated Iron & Steel Works,EA,OPEN,2021,,2410,Manufacture of basic iron and steel and of ferro-alloys ,PRODUCTION_OF_PIG_IRON_OR_STEEL,CPS_NOT_APPLICABLE,R7_process_activity,4679901.0,3977034.0,3242936.0,2682989.0,A,A,A,A,2682104,2682104,2682104,2682104
1000038,UK-E-IN-13785,British Steel Limited,Special Profiles,EA,OPEN,2021,,2410,Manufacture of basic iron and steel and of ferro-alloys ,PRODUCTION_OR_PROCESSING_OF_FERROUS_METALS,CPS_NOT_APPLICABLE,R7_process_activity,37395.0,37675.0,31112.0,28304.0,A,A,A,A,20941,20941,20941,20941
1000039,UK-E-IN-13786,British Steel Limited,Teesside Beam Mill,EA,OPEN,2021,,2410,Manufacture of basic iron and steel and of ferro-alloys ,PRODUCTION_OR_PROCESSING_OF_FERROUS_METALS,CPS_NOT_APPLICABLE,R7_process_activity,74737.0,67781.0,56632.0,53985.0,A,A,A,A,41098,47870,41098,41098
1000040,UK-E-IN-11675,British Sugar Plc,Cantley Sugar Factory,EA,OPEN,2021,,1081,Manufacture of sugar,PRODUCTION_OF_LIME_OR_CALCINATION_OF_DOLOMITE_MAGNESITE,CPS_NOT_APPLICABLE,R7_process_activity,85106.0,58511.0,30341.0,63330.0,A,A,A,A,18488,18488,18488,18488
1000041,UK-E-IN-11673,British Sugar Plc,British Sugar plc - Newark,EA,OPEN,2021,,1081,Manufacture of sugar,PRODUCTION_OF_LIME_OR_CALCINATION_OF_DOLOMITE_MAGNESITE,CPS_NOT_APPLICABLE,R7_process_activity,94137.0,102596.0,87410.0,93352.0,A,A,A,A,59104,59104,59104,59104
1000042,UK-E-IN-11674,British Sugar Plc,Bury St Edmunds Sugar Factory,EA,OPEN,2021,,1081,Manufacture of sugar,PRODUCTION_OF_LIME_OR_CALCINATION_OF_DOLOMITE_MAGNESITE,CPS_NOT_APPLICABLE,R7_process_activity,217274.0,221876.0,235317.0,251734.0,A,A,A,A,83826,83826,83826,83826
1000043,UK-E-IN-11672,British Sugar Plc,Wissington Sugar Factory,EA,OPEN,2021,,1081,Manufacture of sugar,PRODUCTION_OF_LIME_OR_CALCINATION_OF_DOLOMITE_MAGNESITE,CPS_NOT_APPLICABLE,R7_process_activity,311108.0,323279.0,304692.0,323360.0,A,A,A,A,127851,127851,127851,127851
1000044,UK-E-IN-13488,Bury Power Limited,Bury Power Station,EA,OPEN,2021,,3511,Production of electricity,COMBUSTION_OF_FUELS,CPS_COVERED,R5_electricity_combustion,12880.0,11501.0,4223.0,1912.0,A,A,A,A,0,0,0,0
1000045,UK-E-IN-11581,BYK Additives Limited,BYK Additives Limited,EA,OPEN,2021,,2013,Manufacture of other inorganic basic chemicals,COMBUSTION_OF_FUELS,CPS_NOT_APPLICABLE,R6_industrial_combustion,6914.0,5179.0,4054.0,6088.0,A,A,A,A,3458,3458,3458,0
1000046,UK-E-IN-13799,CANARY WHARF GROUP PLC,1-5 Bank Street,EA,OPEN,2021,,6820,Renting and operating of own or leased real estate,COMBUSTION_OF_FUELS,CPS_NOT_APPLICABLE,R6_industrial_combustion,1129.0,1702.0,1835.0,1279.0,B,A,A,A,0,0,0,0
1000047,UK-E-IN-11668,Cargill PLC,Cargill - Trafford Park,EA,OPEN,2021,,1062,Manufacture of starches and starch products,COMBUSTION_OF_FUELS,CPS_NOT_APPLICABLE,R6_industrial_combustion,154709.0,147914.0,136548.0,125027.0,A,A,A,A,49907,49907,61020,61020
1000048,UK-E-IN-13023,Carrington Power Ltd,Carrington CCGT,EA,OPEN,2021,,3511,Production of electricity,COMBUSTION_OF_FUELS,CPS_COVERED,R5_electricity_combustion,1704936.0,1764905.0,1186807.0,1128143.0,A,A,A,A,0,0,0,0
1000049,UK-E-IN-11396,Castle Cement Limited,KETTON WORKS,EA,OPEN,2021,,2351,Manufacture of cement,PRODUCTION_OF_CEMENT_CLINKER,CPS_NOT_APPLICABLE,R7_process_activity,732294.0,670145.0,514595.0,498446.0,A,A,A,A,534779,534779,534779,534779
1000050,UK-E-IN-11380,Castle Cement Limited,Ribblesdale Works,EA,OPEN,2021,,2351,Manufacture of cement,PRODUCTION_OF_CEMENT_CLINKER,CPS_NOT_APPLICABLE,R7_process_activity,544790.0,514378.0,434646.0,468090.0,A,A,A,A,452467,452467,452467,452467
1000051,UK-E-IN-13316,CATS North Sea Limited,Central Area Transmission System,EA,OPEN,2021,,620,Extraction of natural gas,COMBUSTION_OF_FUELS,CPS_NOT_APPLICABLE,R6_industrial_combustion,56524.0,58296.0,54267.0,45960.0,A,A,A,A,12533,12533,12533,12533
1000052,UK-E-IN-11410,CEMEX UK Cement Limited,South Ferriby Works,EA,OPEN,2021,2024,2351,Manufacture of cement,PRODUCTION_OF_CEMENT_CLINKER,CPS_NOT_APPLICABLE,R7_process_activity,1.0,1.0,1.0,3.0,A,A,A,A,0,0,0,0
1000053,UK-E-IN-11406,CEMEX UK Cement Limited,Rugby Works,EA,OPEN,2021,,2351,Manufacture of cement,PRODUCTION_OF_CEMENT_CLINKER,CPS_NOT_APPLICABLE,R7_process_activity,1029320.0,913454.0,757531.0,805323.0,A,A,A,A,691425,691425,691425,691425
1000054,UK-E-IN-11462,CBS Energy Storage Assets UK Limited,Glanford Brigg Generating Station,EA,OPEN,2021,,3511,Production of electricity,COMBUSTION_OF_FUELS,CPS_COVERED,R5_electricity_combustion,31575.0,21023.0,12817.0,15711.0,A,A,A,A,0,0,0,0
1000055,UK-E-IN-14040,River Nene Power Limited,Peterborough Power Station,EA,OPEN,2021,,3511,Production of electricity,COMBUSTION_OF_FUELS,CPS_COVERED,R5_electricity_combustion,62722.0,34863.0,19324.0,16774.0,A,A,A,A,0,0,0,0
1000056,UK-E-IN-11497,Centrica Energy Storage Limited,Centrica Energy Storage Limited,EA,OPEN,2021,,620,Extraction of natural gas,COMBUSTION_OF_FUELS,CPS_NOT_APPLICABLE,R6_industrial_combustion,45473.0,97833.0,90412.0,111502.0,A,A,A,A,20660,20660,20660,20660
1000057,UK-E-IN-11403,Cereal Partners UK : Nestle UK Ltd : General Mills Canada Corporation,CPUK Bromborough,EA,OPEN,2021,,1061,Manufacture of grain mill products,COMBUSTION_OF_FUELS,CPS_NOT_APPLICABLE,R6_industrial_combustion,23858.0,25147.0,23692.0,22958.0,A,A,A,A,1680,1680,2883,2883
1000058,UK-E-IN-12027,CF Fertilisers UK Limited,Ince Fertilizer Works,EA,CLOSED,2021,2022,2015,Manufacture of fertilisers and nitrogen compounds,PRODUCTION_OF_NITRIC_ACID,CPS_NOT_APPLICABLE,R7_process_activity,452684.0,6754.0,,,A,A,,,0,0,0,0
1000059,UK-E-IN-11523,CF Fertilisers UK Limited,Billingham Fertilizer Works,EA,OPEN,2021,,2015,Manufacture of fertilisers and nitrogen compounds,COMBUSTION_OF_FUELS,CPS_NOT_APPLICABLE,R6_industrial_combustion,796161.0,629956.0,36204.0,35669.0,A,A,A,A,150426,150426,150426,150426
1000060,UK-E-IN-13752,Chadderton Generation Limited,Chadderton,EA,OPEN,2021,,3511,Production of electricity,COMBUSTION_OF_FUELS,CPS_COVERED,R5_electricity_combustion,18645.0,16528.0,11088.0,8619.0,A,A,A,A,0,0,0,0
1000061,UK-E-IN-13442,CIB Properties Ltd,Riverdale Data Centre,EA,OPEN,2021,,6499,"Other financial service activities, except insurance and pension funding n.e.c.",COMBUSTION_OF_FUELS,CPS_NOT_APPLICABLE,R6_industrial_combustion,10533.0,9010.0,8799.0,9865.0,A,A,A,A,0,0,0,0
1000062,UK-E-IN-11399,Cleveland Potash Limited,Boulby Mine,EA,OPEN,2021,,891,Mining of chemical and fertiliser minerals,COMBUSTION_OF_FUELS,CPS_NOT_APPLICABLE,R6_industrial_combustion,9081.0,9540.0,5487.0,5147.0,A,A,A,A,3924,3924,3924,3924
1000063,UK-E-IN-14024,CNH Industrial N.V.,Case New Holland Basildon,EA,OPEN,2021,,2830,Manufacture of agricultural and forestry machinery,COMBUSTION_OF_FUELS,CPS_NOT_APPLICABLE,R6_industrial_combustion,5922.0,4597.0,3151.0,5478.0,A,A,A,A,959,959,959,959
1000064,UK-E-IN-13711,CONOCOPHILLIPS (U.K.) TEESSIDE OPERATOR LIMITED,"ConocoPhillips, Seal Sands",EA,OPEN,2021,,610,Extraction of crude petroleum,COMBUSTION_OF_FUELS,CPS_NOT_APPLICABLE,R6_industrial_combustion,293749.0,263922.0,263137.0,258022.0,A,A,A,A,177783,180161,177783,177783
1000065,UK-E-IN-13708,Conrad (Benfleet) Limited,Conrad (Benfleet),EA,OPEN,2021,,3511,Production of electricity,COMBUSTION_OF_FUELS,CPS_COVERED,R5_electricity_combustion,2040.0,7948.0,3877.0,4247.0,A,A,A,A,0,0,0,0
1000066,UK-E-IN-13818,Conrad (Bilston) Limited,Bilston,EA,OPEN,2021,,3511,Production of electricity,COMBUSTION_OF_FUELS,CPS_COVERED,R5_electricity_combustion,2354.0,6772.0,4089.0,2090.0,A,A,A,A,0,0,0,0
1000067,UK-E-IN-13757,Conrad (Bispham) Limited,Bispham,EA,OPEN,2021,,3511,Production of electricity,COMBUSTION_OF_FUELS,CPS_COVERED,R5_electricity_combustion,5099.0,9502.0,804.0,882.0,A,A,A,A,0,0,0,0
1000068,UK-E-IN-13782,Conrad (Chatterley) Limited,Chatterley,EA,OPEN,2021,,3511,Production of electricity,COMBUSTION_OF_FUELS,CPS_COVERED,R5_electricity_combustion,5491.0,5681.0,1075.0,1351.0,A,A,A,A,0,0,0,0
1000069,UK-E-IN-13709,Conrad (Heybridge) Limited,Conrad (Heybridge) Limited,EA,OPEN,2021,,3511,Production of electricity,COMBUSTION_OF_FUELS,CPS_COVERED,R5_electricity_combustion,1697.0,5621.0,3773.0,4333.0,A,A,A,A,0,0,0,0
1000070,UK-E-IN-13758,Conrad (Middlewich) Limited,Middlewich,EA,OPEN,2021,,3511,Production of electricity,COMBUSTION_OF_FUELS,CPS_COVERED,R5_electricity_combustion,4624.0,6830.0,1146.0,755.0,A,A,A,A,0,0,0,0
1000071,UK-E-IN-13817,Conrad (Purfleet) Limited,Purfleet,EA,OPEN,2021,,3511,Production of electricity,COMBUSTION_OF_FUELS,CPS_COVERED,R5_electricity_combustion,2111.0,5448.0,5230.0,5672.0,A,A,A,A,0,0,0,0
1000072,UK-E-IN-11681,Cooper Tire & Rubber Company Europe Limited,Cooper Tire & Rubber Company Europe Limited,EA,OPEN,2021,2023,2211,Manufacture of rubber tyres and tubes; retreading and rebuilding of rubber tyres,COMBUSTION_OF_FUELS,CPS_NOT_APPLICABLE,R6_industrial_combustion,13273.0,12683.0,11761.0,,A,A,A,,0,0,0,0
1000073,UK-E-IN-11510,Corby Power Limited,Corby Power Station,EA,OPEN,2021,,3511,Production of electricity,COMBUSTION_OF_FUELS,CPS_COVERED,R5_electricity_combustion,24517.0,17998.0,6457.0,8766.0,A,A,A,A,0,0,0,0
1000074,UK-E-IN-13573,Creyke Beck Power Limited,Creyke Beck Peaking Plant,EA,OPEN,2021,,3511,Production of electricity,COMBUSTION_OF_FUELS,CPS_COVERED,R5_electricity_combustion,27715.0,20802.0,10945.0,6124.0,A,A,A,A,0,0,0,0
1000075,UK-E-IN-12065,Croda Europe Limited,Croda Europe - Ditton,EA,OPEN,2021,,2059,Manufacture of other chemical products n.e.c.,COMBUSTION_OF_FUELS,CPS_NOT_APPLICABLE,R6_industrial_combustion,2866.0,2398.0,2190.0,1100.0,A,A,A,A,0,0,0,0
1000076,UK-E-IN-14274,Cargill Bioindustrial UK Limited,Equus UK Topco Limited,EA,OPEN,2021,,2014,Manufacture of other organic basic chemicals,COMBUSTION_OF_FUELS,CPS_NOT_APPLICABLE,R6_industrial_combustion,17472.0,13095.0,6319.0,5573.0,A,A,A,A,3424,3424,3424,3424
1000077,UK-E-IN-13245,D200 Energy Limited,D200 Energy Centre,EA,OPEN,2021,,3530,Steam and air conditioning supply,COMBUSTION_OF_FUELS,CPS_CHP_FLAG,R4_chp_nace3530_combustion,50217.0,45893.0,46188.0,40596.0,A,A,A,A,3711,3979,5090,5090
1000078,UK-E-IN-13300,Dairy Crest Limited,Dairy Crest Ltd,EA,OPEN,2021,,1051,Operation of dairies and cheese making,COMBUSTION_OF_FUELS,CPS_NOT_APPLICABLE,R6_industrial_combustion,8540.0,10648.0,8971.0,8423.0,A,A,A,A,13372,13372,13372,13372
1000079,UK-E-IN-12033,Department for Environment Food & Rural Affairs,Animal and Plant Health Agency (APHA) Weybridge,EA,OPEN,2021,,7500,Veterinary activities,COMBUSTION_OF_FUELS,CPS_NOT_APPLICABLE,R6_industrial_combustion,6934.0,6273.0,6488.0,6764.0,A,A,A,A,1126,1126,1126,1126
1000080,UK-E-IN-11584,Devonport Royal Dockyard Limited,Dockyard Boiler Houses,EA,OPEN,2021,,8422,Defence activities ,COMBUSTION_OF_FUELS,CPS_NOT_APPLICABLE,R6_industrial_combustion,14340.0,9049.0,2974.0,4713.0,A,A,A,A,0,0,495,495
1000081,UK-E-IN-13754,Digital Crawley 2 Sarl,LGW16 - Back up Generators,EA,OPEN,2021,,6311,"Data processing, hosting and related activities",COMBUSTION_OF_FUELS,CPS_NOT_APPLICABLE,R6_industrial_combustion,40.0,61.0,24.0,40.0,A,A,A,A,0,0,0,0
1000082,UK-E-IN-13454,Discovery Park Management Limited,Discovery Park,EA,CLOSED,2021,2021,6820,Renting and operating of own or leased real estate,COMBUSTION_OF_FUELS,CPS_NOT_APPLICABLE,R6_industrial_combustion,1401.0,,,,A,C,A,,0,0,0,0
1000083,UK-E-IN-12004,DS Smith Paper Limited,Kemsley Paper Mill,EA,OPEN,2021,,1712,Manufacture of paper and paperboard,PRODUCTION_OF_PAPER_OR_CARDBOARD,CPS_NOT_APPLICABLE,R7_process_activity,35.0,44.0,50.0,37.0,A,A,A,A,107089,107089,107089,107089
1000084,UK-E-IN-13629,E.on Connecting Energies Limited,Britvic Energy Centre,EA,OPEN,2021,,3511,Production of electricity,COMBUSTION_OF_FUELS,CPS_COVERED,R5_electricity_combustion,25064.0,25377.0,26399.0,25420.0,A,A,A,A,1141,1141,1501,1501
1000085,UK-E-IN-11522,E.ON UK CHP Limited,Kemsley CHP plant (Kemsley Mill),EA,OPEN,2021,,3511,Production of electricity,COMBUSTION_OF_FUELS,CPS_COVERED,R5_electricity_combustion,326391.0,262162.0,253278.0,259821.0,A,A,A,A,0,0,0,0
1000086,UK-E-IN-14995,Cargill PLC,Port of Liverpool CHP,EA,OPEN,2021,,1041,Manufacture of oils and fats,COMBUSTION_OF_FUELS,CPS_NOT_APPLICABLE,R6_industrial_combustion,151215.0,154676.0,141149.0,127484.0,A,A,A,A,39157,39157,49040,49040
1000087,UK-E-IN-14337,E.ON UK Heat Limited,Bradford CHP plant (NuFarm),EA,OPEN,2021,,3511,Production of electricity,COMBUSTION_OF_FUELS,CPS_COVERED,R5_electricity_combustion,30019.0,28834.0,26561.0,26964.0,A,A,A,A,3087,3087,3426,3426
1000088,UK-E-IN-12914,E.ON UK Infrastructure Services Limited,Blackburn Meadows Renewable Energy Plant,EA,CLOSED,2021,2022,3511,Production of electricity,COMBUSTION_OF_FUELS,CPS_COVERED,R5_electricity_combustion,12786.0,13818.0,,,A,A,,A,0,0,0,0
1000089,UK-E-IN-12010,East London Energy Limited,Kings Yard CCHP Energy Centre,EA,OPEN,2021,,3530,Steam and air conditioning supply,COMBUSTION_OF_FUELS,CPS_CHP_FLAG,R4_chp_nace3530_combustion,18673.0,18576.0,19792.0,14501.0,A,A,A,A,2530,2530,0,0
1000090,UK-E-IN-12011,East London Energy Limited,Stratford CCHP Energy Centre,EA,OPEN,2021,,3530,Steam and air conditioning supply,COMBUSTION_OF_FUELS,CPS_CHP_FLAG,R4_chp_nace3530_combustion,20750.0,22549.0,22950.0,20413.0,A,A,A,A,2031,2031,2743,2743
